From Station,To Station,Fare
Airport,Meenambakkam,8
Airport,Nanganallur Road,16
Airport,Alandur Metro,16
Airport,Guindy,24
Airport,Little Mount,24
Airport,Saidapet,24
Airport,Nandanam,24
Airport,Teynampet,24
Airport,AG-DMS,32
Airport,Thousand Lights,32
Airport,LIC,32
Airport,Government Estate,32
Airport,Central Metro,32
Airport,High Court,32
Airport,Mannadi,32
Airport,Washermenpet,40
Airport,Thyagaraya College,40
Airport,Tondiarpet,40
Airport,New Washermen pet,40
Airport,Toll Gate,40
Airport,Kaladipet,40
Airport,Thiruvotriyur Theredi,40
Airport,Thiruvotriyur,40
Airport,WimcoNagar,40
Airport,WimcoNagar Depot,40
Airport,Ekkattuthangal,24
Airport,Ashok Nagar,24
Airport,Vadapalani,24
Airport,Arumbakkam,24
Airport,CMBT Metro,32
Airport,Koyambedu,32
Airport,Thirumangalam,32
Airport,Anna Nagar Tower,32
Airport,Anna Nagar East,32
Airport,Shenoy Nagar,32
Airport,Pachaiyappas College,32
Airport,Kilpauk,40
Airport,Nehru Park,32
Airport,Egmore,32
Airport,St Thomas Mount,24

St Thomas Mount,WimcoNagar Depot,40
St Thomas Mount,WimcoNagar,40
St Thomas Mount,Thiruvotriyur,40
St Thomas Mount,Thiruvotriyur Theredi,40
St Thomas Mount,Kaladipet,40
St Thomas Mount,Toll Gate,40
St Thomas Mount,New Washermen pet,40
St Thomas Mount,Tondiarpet,40
St Thomas Mount,Thyagaraya College,40
St Thomas Mount,Washermenpet,40
St Thomas Mount,Mannadi,32
St Thomas Mount,High Court,32
St Thomas Mount,Central Metro,32
St Thomas Mount,Government Estate,32
St Thomas Mount,LIC,32
St Thomas Mount,Thousand Lights,32
St Thomas Mount,AG-DMS,32
St Thomas Mount,Teynampet,24
St Thomas Mount,Nandanam,24
St Thomas Mount,Saidapet,24
St Thomas Mount,Little Mount,24
St Thomas Mount,Guindy,24
St Thomas Mount,Alandur Metro,16
St Thomas Mount,Nanganallur Road,16
St Thomas Mount,Meenambakkam,24
St Thomas Mount,Airport,24
St Thomas Mount,Ekkattuthangal,16
St Thomas Mount,Ashok Nagar,16
St Thomas Mount,Vadapalani,24
St Thomas Mount,Arumbakkam,24
St Thomas Mount,CMBT Metro,24
St Thomas Mount,Koyambedu,24
St Thomas Mount,Thirumangalam,32
St Thomas Mount,Anna Nagar Tower,32
St Thomas Mount,Anna Nagar East,32
St Thomas Mount,Shenoy Nagar,32
St Thomas Mount,Pachaiyappas College,32
St Thomas Mount,Kilpauk,32
St Thomas Mount,Nehru Park,32
St Thomas Mount,Egmore,32

Meenambakkam,Airport,8
Meenambakkam,Nanganallur Road,16
Meenambakkam,Alandur Metro,16
Meenambakkam,Guindy,16
Meenambakkam,Little Mount,16
Meenambakkam,Saidapet,24
Meenambakkam,Nandanam,24
Meenambakkam,Teynampet,24
Meenambakkam,AG-DMS,24
Meenambakkam,Thousand Lights,32
Meenambakkam,LIC,32
Meenambakkam,Government Estate,32
Meenambakkam,Central Metro,32
Meenambakkam,High Court,32
Meenambakkam,Mannadi,32
Meenambakkam,Washermenpet,32
Meenambakkam,Thyagaraya College,40
Meenambakkam,Tondiarpet,40
Meenambakkam,New Washermen pet,40
Meenambakkam,Toll Gate,40
Meenambakkam,Kaladipet,40
Meenambakkam,Thiruvotriyur Theredi,40
Meenambakkam,Thiruvotriyur,40
Meenambakkam,WimcoNagar,40
Meenambakkam,WimcoNagar Depot,40
Meenambakkam,Ekkattuthangal,16
Meenambakkam,Ashok Nagar,24
Meenambakkam,Vadapalani,24
Meenambakkam,Arumbakkam,24
Meenambakkam,CMBT Metro,24
Meenambakkam,Koyambedu,32
Meenambakkam,Thirumangalam,32
Meenambakkam,Anna Nagar Tower,32
Meenambakkam,Anna Nagar East,32
Meenambakkam,Shenoy Nagar,32
Meenambakkam,Pachaiyappas College,32
Meenambakkam,Kilpauk,32

Nanganallur Road,Airport,16
Nanganallur Road,Meenambakkam,16
Nanganallur Road,Alandur Metro,8
Nanganallur Road,Guindy,16
Nanganallur Road,Little Mount,16
Nanganallur Road,Saidapet,16
Nanganallur Road,Nandanam,24
Nanganallur Road,Teynampet,24
Nanganallur Road,AG-DMS,24
Nanganallur Road,Thousand Lights,24
Nanganallur Road,LIC,24
Nanganallur Road,Government Estate,32
Nanganallur Road,Central Metro,32
Nanganallur Road,High Court,32
Nanganallur Road,Mannadi,32
Nanganallur Road,Washermenpet,32
Nanganallur Road,Thyagaraya College,32
Nanganallur Road,Tondiarpet,32
Nanganallur Road,New Washermen pet,40
Nanganallur Road,Toll Gate,40
Nanganallur Road,Kaladipet,40
Nanganallur Road,Thiruvotriyur Theredi,40
Nanganallur Road,Thiruvotriyur,40
Nanganallur Road,WimcoNagar,40
Nanganallur Road,WimcoNagar Depot,40
Nanganallur Road,Ekkattuthangal,16
Nanganallur Road,Ashok Nagar,16
Nanganallur Road,Vadapalani,24
Nanganallur Road,Arumbakkam,24
Nanganallur Road,CMBT Metro,24
Nanganallur Road,Koyambedu,24
Nanganallur Road,Thirumangalam,32
Nanganallur Road,Anna Nagar Tower,32
Nanganallur Road,Anna Nagar East,32
Nanganallur Road,Shenoy Nagar,32
Nanganallur Road,Pachaiyappas College,32
Nanganallur Road,Kilpauk,32
Nanganallur Road,Nehru Park,32
Nanganallur Road,Egmore,32

Alandur Metro,Airport,16
Alandur Metro,Meenambakkam,16
Alandur Metro,Nanganallur Road,8
Alandur Metro,Guindy,8
Alandur Metro,Little Mount,16
Alandur Metro,Saidapet,16
Alandur Metro,Nandanam,24
Alandur Metro,Teynampet,24
Alandur Metro,AG-DMS,24
Alandur Metro,Thousand Lights,24
Alandur Metro,LIC,24
Alandur Metro,Government Estate,24
Alandur Metro,Central Metro,32
Alandur Metro,High Court,32
Alandur Metro,Mannadi,32
Alandur Metro,Washermenpet,32
Alandur Metro,Thyagaraya College,32
Alandur Metro,Tondiarpet,32
Alandur Metro,New Washermen pet,32
Alandur Metro,Toll Gate,40
Alandur Metro,Kaladipet,40
Alandur Metro,Thiruvotriyur Theredi,40
Alandur Metro,Thiruvotriyur,40
Alandur Metro,WimcoNagar,40
Alandur Metro,WimcoNagar Depot,40
Alandur Metro,Ekkattuthangal,8
Alandur Metro,Ashok Nagar,16
Alandur Metro,Vadapalani,24
Alandur Metro,Arumbakkam,24
Alandur Metro,CMBT Metro,24
Alandur Metro,Koyambedu,24
Alandur Metro,Thirumangalam,24
Alandur Metro,Anna Nagar Tower,24
Alandur Metro,Anna Nagar East,32
Alandur Metro,Shenoy Nagar,32
Alandur Metro,Pachaiyappas College,32
Alandur Metro,Kilpauk,32
Alandur Metro,Nehru Park,32
Alandur Metro,Egmore,32

Guindy,Airport,24
Guindy,Meenambakkam,16
Guindy,Nanganallur Road,16
Guindy,Alandur Metro,8
Guindy,Little Mount,8
Guindy,Saidapet,16
Guindy,Nandanam,16
Guindy,Teynampet,16
Guindy,AG-DMS,24
Guindy,Thousand Lights,24
Guindy,LIC,24
Guindy,Government Estate,24
Guindy,Central Metro,24
Guindy,High Court,32
Guindy,Mannadi,32
Guindy,Washermenpet,32
Guindy,Thyagaraya College,32
Guindy,Tondiarpet,32
Guindy,New Washermen pet,32
Guindy,Toll Gate,32
Guindy,Kaladipet,32
Guindy,Thiruvotriyur Theredi,40
Guindy,Thiruvotriyur,40
Guindy,WimcoNagar,40
Guindy,WimcoNagar Depot,40
Guindy,Ekkattuthangal,16
Guindy,Ashok Nagar,16
Guindy,Vadapalani,24
Guindy,Arumbakkam,24
Guindy,CMBT Metro,24
Guindy,Koyambedu,24
Guindy,Thirumangalam,32
Guindy,Anna Nagar Tower,32
Guindy,Anna Nagar East,32
Guindy,Shenoy Nagar,32
Guindy,Pachaiyappas College,32
Guindy,Kilpauk,32
Guindy,Nehru Park,32
Guindy,Egmore,32

Little Mount,Airport,24
Little Mount,Meenambakkam,16
Little Mount,Nanganallur Road,16
Little Mount,Alandur Metro,16
Little Mount,Guindy,8
Little Mount,Saidapet,8
Little Mount,Nandanam,16
Little Mount,Teynampet,16
Little Mount,AG-DMS,16
Little Mount,Thousand Lights,24
Little Mount,LIC,24
Little Mount,Government Estate,24
Little Mount,Central Metro,24
Little Mount,High Court,24
Little Mount,Mannadi,32
Little Mount,Washermenpet,32
Little Mount,Thyagaraya College,32
Little Mount,Tondiarpet,32
Little Mount,New Washermen pet,32
Little Mount,Toll Gate,32
Little Mount,Kaladipet,32
Little Mount,Thiruvotriyur Theredi,32
Little Mount,Thiruvotriyur,40
Little Mount,WimcoNagar,40
Little Mount,WimcoNagar Depot,40
Little Mount,Ekkattuthangal,16
Little Mount,Ashok Nagar,24
Little Mount,Vadapalani,24
Little Mount,Arumbakkam,24
Little Mount,CMBT Metro,24
Little Mount,Koyambedu,24
Little Mount,Thirumangalam,32
Little Mount,Anna Nagar Tower,32
Little Mount,Anna Nagar East,32
Little Mount,Shenoy Nagar,32
Little Mount,Pachaiyappas College,32
Little Mount,Kilpauk,32
Little Mount,Nehru Park,32
Little Mount,Egmore,24

Saidapet,Meenambakkam,24
Saidapet,Nanganallur Road,24
Saidapet,Arignar Anna Alandur,16
Saidapet,Guindy,16
Saidapet,Little Mount,8
Saidapet,Saidapet,0
Saidapet,Nandanam,8
Saidapet,Teynampet,16
Saidapet,AG-DMS,16
Saidapet,Thousand Lights,24
Saidapet,LIC,24
Saidapet,Government Estate,24
Saidapet,Central Metro,32
Saidapet,High Court,32
Saidapet,Mannadi,32
Saidapet,Washermenpet,40
Saidapet,Thyagaraya College,40
Saidapet,Tondiarpet,40
Saidapet,New Washermenpet,40
Saidapet,Toll Gate,40
Saidapet,Kaladipet,40
Saidapet,Thiruvotriyur Theredi,40
Saidapet,Thiruvotriyur,40
Saidapet,Wimco Nagar,40
Saidapet,Wimco Nagar Depot,40
Saidapet,Ekkattuthangal,24
Saidapet,Ashok Nagar,24
Saidapet,Vadapalani,24
Saidapet,Arumbakkam,32
Saidapet,CMBT Metro,32
Saidapet,Koyambedu,32
Saidapet,Thirumangalam,32
Saidapet,Anna Nagar Tower,32
Saidapet,Anna Nagar East,32
Saidapet,Shenoy Nagar,32
Saidapet,Pachaiyappas College,32
Saidapet,Kilpauk,32
Saidapet,Nehru Park,32
Saidapet,Egmore,32
Saidapet,St. Thomas Mount,24

Nandanam,Airport,24
Nandanam,Meenambakkam,24
Nandanam,Nanganallur Road,24
Nandanam,Arignar Anna Alandur,24
Nandanam,Guindy,16
Nandanam,Little Mount,16
Nandanam,Saidapet,8
Nandanam,Nandanam,0
Nandanam,Teynampet,8
Nandanam,AG-DMS,16
Nandanam,Thousand Lights,16
Nandanam,LIC,24
Nandanam,Government Estate,24
Nandanam,Central Metro,24
Nandanam,High Court,32
Nandanam,Mannadi,32
Nandanam,Washermenpet,40
Nandanam,Thyagaraya College,40
Nandanam,Tondiarpet,40
Nandanam,New Washermenpet,40
Nandanam,Toll Gate,40
Nandanam,Kaladipet,40
Nandanam,Thiruvotriyur Theredi,40
Nandanam,Thiruvotriyur,40
Nandanam,Wimco Nagar,40
Nandanam,Wimco Nagar Depot,40
Nandanam,Ekkattuthangal,24
Nandanam,Ashok Nagar,24
Nandanam,Vadapalani,24
Nandanam,Arumbakkam,32
Nandanam,CMBT Metro,32
Nandanam,Koyambedu,32
Nandanam,Thirumangalam,32
Nandanam,Anna Nagar Tower,32
Nandanam,Anna Nagar East,32
Nandanam,Shenoy Nagar,32
Nandanam,Pachaiyappas College,32
Nandanam,Kilpauk,32
Nandanam,Nehru Park,32
Nandanam,Egmore,32
Nandanam,St. Thomas Mount,24

Teynampet,Airport,24
Teynampet,Meenambakkam,24
Teynampet,Nanganallur Road,24
Teynampet,Arignar Anna Alandur,24
Teynampet,Guindy,16
Teynampet,Little Mount,16
Teynampet,Saidapet,16
Teynampet,Nandanam,8
Teynampet,Teynampet,0
Teynampet,AG-DMS,8
Teynampet,Thousand Lights,16
Teynampet,LIC,16
Teynampet,Government Estate,24
Teynampet,Central Metro,24
Teynampet,High Court,32
Teynampet,Mannadi,32
Teynampet,Washermenpet,32
Teynampet,Thyagaraya College,32
Teynampet,Tondiarpet,32
Teynampet,New Washermenpet,32
Teynampet,Toll Gate,32
Teynampet,Kaladipet,32
Teynampet,Thiruvotriyur Theredi,32
Teynampet,Thiruvotriyur,32
Teynampet,Wimco Nagar,32
Teynampet,Wimco Nagar Depot,32
Teynampet,Ekkattuthangal,24
Teynampet,Ashok Nagar,24
Teynampet,Vadapalani,24
Teynampet,Arumbakkam,32
Teynampet,CMBT Metro,32
Teynampet,Koyambedu,32
Teynampet,Thirumangalam,32
Teynampet,Anna Nagar Tower,32
Teynampet,Anna Nagar East,32
Teynampet,Shenoy Nagar,32
Teynampet,Pachaiyappas College,32
Teynampet,Kilpauk,32
Teynampet,Nehru Park,32
Teynampet,Egmore,32
Teynampet,St. Thomas Mount,24

AG-DMS,Airport,32
AG-DMS,Meenambakkam,32
AG-DMS,Nanganallur Road,24
AG-DMS,Arignar Anna Alandur,24
AG-DMS,Guindy,24
AG-DMS,Little Mount,16
AG-DMS,Saidapet,16
AG-DMS,Nandanam,16
AG-DMS,Teynampet,8
AG-DMS,AG-DMS,0
AG-DMS,Thousand Lights,8
AG-DMS,LIC,8
AG-DMS,Government Estate,16
AG-DMS,Central Metro,16
AG-DMS,High Court,24
AG-DMS,Mannadi,24
AG-DMS,Washermenpet,32
AG-DMS,Thyagaraya College,32
AG-DMS,Tondiarpet,32
AG-DMS,New Washermenpet,32
AG-DMS,Toll Gate,32
AG-DMS,Kaladipet,32
AG-DMS,Thiruvotriyur Theredi,32
AG-DMS,Thiruvotriyur,32
AG-DMS,Wimco Nagar,32
AG-DMS,Wimco Nagar Depot,32
AG-DMS,Ekkattuthangal,32
AG-DMS,Ashok Nagar,32
AG-DMS,Vadapalani,32
AG-DMS,Arumbakkam,32
AG-DMS,CMBT Metro,32
AG-DMS,Koyambedu,32
AG-DMS,Thirumangalam,32
AG-DMS,Anna Nagar Tower,32
AG-DMS,Anna Nagar East,32
AG-DMS,Shenoy Nagar,32
AG-DMS,Pachaiyappas College,32
AG-DMS,Kilpauk,32
AG-DMS,Nehru Park,32
AG-DMS,Egmore,32
AG-DMS,St. Thomas Mount,24


LIC,Airport,32
LIC,Meenambakkam,32
LIC,Nanganallur Road,24
LIC,Arignar Anna Alandur,24
LIC,Guindy,24
LIC,Little Mount,24
LIC,Saidapet,24
LIC,Nandanam,24
LIC,Teynampet,16
LIC,AG-DMS,8
LIC,Thousand Lights,8
LIC,LIC,0
LIC,Government Estate,8
LIC,Central Metro,8
LIC,High Court,16
LIC,Mannadi,24
LIC,Washermenpet,32
LIC,Thyagaraya College,32
LIC,Tondiarpet,32
LIC,New Washermenpet,32
LIC,Toll Gate,32
LIC,Kaladipet,32
LIC,Thiruvotriyur Theredi,32
LIC,Thiruvotriyur,32
LIC,Wimco Nagar,32
LIC,Wimco Nagar Depot,32
LIC,Ekkattuthangal,32
LIC,Ashok Nagar,32
LIC,Vadapalani,32
LIC,Arumbakkam,32
LIC,CMBT Metro,32
LIC,Koyambedu,32
LIC,Thirumangalam,32
LIC,Anna Nagar Tower,32
LIC,Anna Nagar East,32
LIC,Shenoy Nagar,32
LIC,Pachaiyappas College,32
LIC,Kilpauk,32
LIC,Nehru Park,32
LIC,Egmore,32
LIC,St. Thomas Mount,32

Government Estate,Airport,32
Government Estate,Meenambakkam,32
Government Estate,Nanganallur Road,24
Government Estate,Arignar Anna Alandur,24
Government Estate,Guindy,24
Government Estate,Little Mount,24
Government Estate,Saidapet,24
Government Estate,Nandanam,24
Government Estate,Teynampet,24
Government Estate,AG-DMS,16
Government Estate,Thousand Lights,8
Government Estate,LIC,8
Government Estate,Government Estate,0
Government Estate,Central Metro,8
Government Estate,High Court,16
Government Estate,Mannadi,24
Government Estate,Washermenpet,32
Government Estate,Thyagaraya College,32
Government Estate,Tondiarpet,32
Government Estate,New Washermenpet,32
Government Estate,Toll Gate,32
Government Estate,Kaladipet,32
Government Estate,Thiruvotriyur Theredi,32
Government Estate,Thiruvotriyur,32
Government Estate,Wimco Nagar,32
Government Estate,Wimco Nagar Depot,32
Government Estate,Ekkattuthangal,32
Government Estate,Ashok Nagar,32
Government Estate,Vadapalani,32
Government Estate,Arumbakkam,32
Government Estate,CMBT Metro,32
Government Estate,Koyambedu,32
Government Estate,Thirumangalam,32
Government Estate,Anna Nagar Tower,32
Government Estate,Anna Nagar East,32
Government Estate,Shenoy Nagar,32
Government Estate,Pachaiyappas College,32
Government Estate,Kilpauk,32
Government Estate,Nehru Park,32
Government Estate,Egmore,32
Government Estate,St. Thomas Mount,32

Central Metro,Airport,32
Central Metro,Meenambakkam,32
Central Metro,Nanganallur Road,32
Central Metro,Arignar Anna Alandur,32
Central Metro,Guindy,32
Central Metro,Little Mount,32
Central Metro,Saidapet,32
Central Metro,Nandanam,24
Central Metro,Teynampet,24
Central Metro,AG-DMS,16
Central Metro,Thousand Lights,16
Central Metro,LIC,8
Central Metro,Government Estate,8
Central Metro,Central Metro,0
Central Metro,High Court,8
Central Metro,Mannadi,16
Central Metro,Washermenpet,32
Central Metro,Thyagaraya College,32
Central Metro,Tondiarpet,32
Central Metro,New Washermenpet,32
Central Metro,Toll Gate,32
Central Metro,Kaladipet,32
Central Metro,Thiruvotriyur Theredi,32
Central Metro,Thiruvotriyur,32
Central Metro,Wimco Nagar,32
Central Metro,Wimco Nagar Depot,32
Central Metro,Ekkattuthangal,32
