From Station,To Station,Fare
Ashok Nagar,Meenambakkam,24
Ashok Nagar,Nanganallur Road,16
Ashok Nagar,Alandur Metro,16
Ashok Nagar,Guindy,16
Ashok Nagar,Little Mount,24
Ashok Nagar,Saidapet,24
Ashok Nagar,Nandanam,24
Ashok Nagar,Teynampet,24
Ashok Nagar,AG-DMS,24
Ashok Nagar,Thousand Lights,32
Ashok Nagar,LIC,32
Ashok Nagar,Government Estate,32
Ashok Nagar,Central Metro,32
Ashok Nagar,High Court,32
Ashok Nagar,Mannadi,32
Ashok Nagar,Washermenpet,32
Ashok Nagar,Thyagaraya College,40
Ashok Nagar,Tondiarpet,40
Ashok Nagar,New Washermen pet,40
Ashok Nagar,Toll Gate,40
Ashok Nagar,Kaladipet,40
Ashok Nagar,Thiruvotriyur Theredi,40
Ashok Nagar,Thiruvotriyur,40
Ashok Nagar,WimcoNagar,40
Ashok Nagar,WimcoNagar Depot,40
Ashok Nagar,Ekkattuthangal,16
Ashok Nagar,Vadapalani,8
Ashok Nagar,Arumbakkam,16
Ashok Nagar,CMBT Metro,16
Ashok Nagar,Koyambedu,24
Ashok Nagar,Thirumangalam,24
Ashok Nagar,Anna Nagar Tower,24
Ashok Nagar,Anna Nagar East,24
Ashok Nagar,Shenoy Nagar,24
Ashok Nagar,Pachaiyappas College,24
Ashok Nagar,Kilpauk,32
Ashok Nagar,Nehru Park,32
Ashok Nagar,Egmore,32
Ashok Nagar,St. Thomas Mount,16

Vadapalani,Airport,24
Vadapalani,Meenambakkam,24
Vadapalani,Nanganallur Road,24
Vadapalani,Alandur Metro,24
Vadapalani,Guindy,24
Vadapalani,Little Mount,24
Vadapalani,Saidapet,24
Vadapalani,Nandanam,24
Vadapalani,Teynampet,24
Vadapalani,AG-DMS,32
Vadapalani,Thousand Lights,32
Vadapalani,LIC,32
Vadapalani,Government Estate,32
Vadapalani,Central Metro,32
Vadapalani,High Court,32
Vadapalani,Mannadi,32
Vadapalani,Washermenpet,32
Vadapalani,Thyagaraya College,32
Vadapalani,Tondiarpet,32
Vadapalani,New Washermen pet,40
Vadapalani,Toll Gate,40
Vadapalani,Kaladipet,40
Vadapalani,Thiruvotriyur Theredi,40
Vadapalani,Thiruvotriyur,40
Vadapalani,WimcoNagar,40
Vadapalani,WimcoNagar Depot,40
Vadapalani,Ekkattuthangal,16
Vadapalani,Ashok Nagar,8
Vadapalani,Arumbakkam,8
Vadapalani,CMBT Metro,16
Vadapalani,Koyambedu,16
Vadapalani,Thirumangalam,24
Vadapalani,Anna Nagar Tower,24
Vadapalani,Anna Nagar East,24
Vadapalani,Shenoy Nagar,24
Vadapalani,Pachaiyappas College,24
Vadapalani,Kilpauk,24
Vadapalani,Nehru Park,24
Vadapalani,Egmore,32
Vadapalani,St. Thomas Mount,24

Arumbakkam,Airport,24
Arumbakkam,Meenambakkam,24
Arumbakkam,Nanganallur Road,24
Arumbakkam,Alandur Metro,24
Arumbakkam,Guindy,24
Arumbakkam,Little Mount,24
Arumbakkam,Saidapet,24
Arumbakkam,Nandanam,32
Arumbakkam,Teynampet,32
Arumbakkam,AG-DMS,32
Arumbakkam,Thousand Lights,32
Arumbakkam,LIC,32
Arumbakkam,Government Estate,32
Arumbakkam,Central Metro,32
Arumbakkam,High Court,32
Arumbakkam,Mannadi,32
Arumbakkam,Washermenpet,32
Arumbakkam,Thyagaraya College,32
Arumbakkam,Tondiarpet,32
Arumbakkam,New Washermen pet,32
Arumbakkam,Toll Gate,40
Arumbakkam,Kaladipet,40
Arumbakkam,Thiruvotriyur Theredi,40
Arumbakkam,Thiruvotriyur,40
Arumbakkam,WimcoNagar,40
Arumbakkam,WimcoNagar Depot,40
Arumbakkam,Ekkattuthangal,24
Arumbakkam,Ashok Nagar,16
Arumbakkam,Vadapalani,8
Arumbakkam,CMBT Metro,8
Arumbakkam,Koyambedu,16
Arumbakkam,Thirumangalam,16
Arumbakkam,Anna Nagar Tower,24
Arumbakkam,Anna Nagar East,24
Arumbakkam,Shenoy Nagar,24
Arumbakkam,Pachaiyappas College,24
Arumbakkam,Kilpauk,24
Arumbakkam,Nehru Park,24
Arumbakkam,Egmore,24
Arumbakkam,St. Thomas Mount,24

CMBT Metro,Airport,32
CMBT Metro,Meenambakkam,24
CMBT Metro,Nanganallur Road,24
CMBT Metro,Alandur Metro,24
CMBT Metro,Guindy,24
CMBT Metro,Little Mount,24
CMBT Metro,Saidapet,24
CMBT Metro,Nandanam,32
CMBT Metro,Teynampet,32
CMBT Metro,AG-DMS,32
CMBT Metro,Thousand Lights,32
CMBT Metro,LIC,32
CMBT Metro,Government Estate,32
CMBT Metro,Central Metro,24
CMBT Metro,High Court,32
CMBT Metro,Mannadi,32
CMBT Metro,Washermenpet,32
CMBT Metro,Thyagaraya College,32
CMBT Metro,Tondiarpet,32
CMBT Metro,New Washermen pet,32
CMBT Metro,Toll Gate,32
CMBT Metro,Kaladipet,40
CMBT Metro,Thiruvotriyur Theredi,40
CMBT Metro,Thiruvotriyur,40
CMBT Metro,WimcoNagar,40
CMBT Metro,WimcoNagar Depot,40
CMBT Metro,Ekkattuthangal,24
CMBT Metro,Ashok Nagar,16
CMBT Metro,Vadapalani,16
CMBT Metro,Arumbakkam,8
CMBT Metro,Koyambedu,8
CMBT Metro,Thirumangalam,16
CMBT Metro,Anna Nagar Tower,16
CMBT Metro,Anna Nagar East,16
CMBT Metro,Shenoy Nagar,24
CMBT Metro,Pachaiyappas College,24
CMBT Metro,Kilpauk,24
CMBT Metro,Nehru Park,24
CMBT Metro,Egmore,24
CMBT Metro,St. Thomas Mount,24

Koyambedu,Airport,32
Koyambedu,Meenambakkam,32
Koyambedu,Nanganallur Road,24
Koyambedu,Alandur Metro,24
Koyambedu,Guindy,24
Koyambedu,Little Mount,24
Koyambedu,Saidapet,32
Koyambedu,Nandanam,32
Koyambedu,Teynampet,32
Koyambedu,AG-DMS,32
Koyambedu,Thousand Lights,32
Koyambedu,LIC,32
Koyambedu,Government Estate,32
Koyambedu,Central Metro,24
Koyambedu,High Court,32
Koyambedu,Mannadi,32
Koyambedu,Washermenpet,32
Koyambedu,Thyagaraya College,32
Koyambedu,Tondiarpet,32
Koyambedu,New Washermen pet,32
Koyambedu,Toll Gate,32
Koyambedu,Kaladipet,32
Koyambedu,Thiruvotriyur Theredi,32
Koyambedu,Thiruvotriyur,40
Koyambedu,WimcoNagar,40
Koyambedu,WimcoNagar Depot,40
Koyambedu,Ekkattuthangal,24
Koyambedu,Ashok Nagar,24
Koyambedu,Vadapalani,16
Koyambedu,Arumbakkam,16
Koyambedu,CMBT Metro,8
Koyambedu,Thirumangalam,8
Koyambedu,Anna Nagar Tower,16
Koyambedu,Anna Nagar East,16
Koyambedu,Shenoy Nagar,16
Koyambedu,Pachaiyappas College,24
Koyambedu,Kilpauk,24
Koyambedu,Nehru Park,24
Koyambedu,Egmore,24
Koyambedu,St. Thomas Mount,24

Thirumangalam,Airport,32
Thirumangalam,Meenambakkam,32
Thirumangalam,Nanganallur Road,32
Thirumangalam,Alandur Metro,24
Thirumangalam,Guindy,32
Thirumangalam,Little Mount,32
Thirumangalam,Saidapet,32
Thirumangalam,Nandanam,32
Thirumangalam,Teynampet,32
Thirumangalam,AG-DMS,32
Thirumangalam,Thousand Lights,32
Thirumangalam,LIC,24
Thirumangalam,Government Estate,24
Thirumangalam,Central Metro,24
Thirumangalam,High Court,24
Thirumangalam,Mannadi,24
Thirumangalam,Washermenpet,32
Thirumangalam,Thyagaraya College,32
Thirumangalam,Tondiarpet,32
Thirumangalam,New Washermen pet,32
Thirumangalam,Toll Gate,32
Thirumangalam,Kaladipet,32
Thirumangalam,Thiruvotriyur Theredi,32
Thirumangalam,Thiruvotriyur,32
Thirumangalam,WimcoNagar,40
Thirumangalam,WimcoNagar Depot,40
Thirumangalam,Ekkattuthangal,24
Thirumangalam,Ashok Nagar,24
Thirumangalam,Vadapalani,24
Thirumangalam,Arumbakkam,16
Thirumangalam,CMBT Metro,16
Thirumangalam,Koyambedu,8
Thirumangalam,Anna Nagar Tower,8
Thirumangalam,Anna Nagar East,8
Thirumangalam,Shenoy Nagar,16
Thirumangalam,Pachaiyappas College,16
Thirumangalam,Kilpauk,24
Thirumangalam,Nehru Park,24
Thirumangalam,Egmore,24
Thirumangalam,St. Thomas Mount,32

Anna Nagar Tower,Airport,32
Anna Nagar Tower,Meenambakkam,32
Anna Nagar Tower,Nanganallur Road,32
Anna Nagar Tower,Alandur Metro,24
Anna Nagar Tower,Guindy,32
Anna Nagar Tower,Little Mount,32
Anna Nagar Tower,Saidapet,32
Anna Nagar Tower,Nandanam,32
Anna Nagar Tower,Teynampet,32
Anna Nagar Tower,AG-DMS,32
Anna Nagar Tower,Thousand Lights,24
Anna Nagar Tower,LIC,24
Anna Nagar Tower,Government Estate,24
Anna Nagar Tower,Central Metro,24
Anna Nagar Tower,High Court,24
Anna Nagar Tower,Mannadi,24
Anna Nagar Tower,Washermenpet,32
Anna Nagar Tower,Thyagaraya College,32
Anna Nagar Tower,Tondiarpet,32
Anna Nagar Tower,New Washermen pet,32
Anna Nagar Tower,Toll Gate,32
Anna Nagar Tower,Kaladipet,32
Anna Nagar Tower,Thiruvotriyur Theredi,32
Anna Nagar Tower,Thiruvotriyur,32
Anna Nagar Tower,WimcoNagar,32
Anna Nagar Tower,WimcoNagar Depot,40
Anna Nagar Tower,Ekkattuthangal,24
Anna Nagar Tower,Ashok Nagar,24
Anna Nagar Tower,Vadapalani,24
Anna Nagar Tower,Arumbakkam,24
Anna Nagar Tower,CMBT Metro,16
Anna Nagar Tower,Koyambedu,16
Anna Nagar Tower,Thirumangalam,8
Anna Nagar Tower,Anna Nagar East,8
Anna Nagar Tower,Shenoy Nagar,16
Anna Nagar Tower,Pachaiyappas College,16
Anna Nagar Tower,Kilpauk,16
Anna Nagar Tower,Nehru Park,24
Anna Nagar Tower,Egmore,24
Anna Nagar Tower,St. Thomas Mount,32

Shenoy Nagar,Airport,32
Shenoy Nagar,Meenambakkam,32
Shenoy Nagar,Nanganallur Road,32
Shenoy Nagar,Alandur Metro,32
Shenoy Nagar,Guindy,32
Shenoy Nagar,Little Mount,32
Shenoy Nagar,Saidapet,32
Shenoy Nagar,Nandanam,32
Shenoy Nagar,Teynampet,32
Shenoy Nagar,AG-DMS,24
Shenoy Nagar,Thousand Lights,24
Shenoy Nagar,LIC,24
Shenoy Nagar,Government Estate,24
Shenoy Nagar,Central Metro,24
Shenoy Nagar,High Court,24
Shenoy Nagar,Mannadi,24
Shenoy Nagar,Washermenpet,24
Shenoy Nagar,Thyagaraya College,24
Shenoy Nagar,Tondiarpet,24
Shenoy Nagar,New Washermen pet,32
Shenoy Nagar,Toll Gate,32
Shenoy Nagar,Kaladipet,32
Shenoy Nagar,Thiruvotriyur Theredi,32
Shenoy Nagar,Thiruvotriyur,32
Shenoy Nagar,WimcoNagar,32
Shenoy Nagar,WimcoNagar Depot,32
Shenoy Nagar,Ekkattuthangal,32
Shenoy Nagar,Ashok Nagar,24
Shenoy Nagar,Vadapalani,24
Shenoy Nagar,Arumbakkam,24
Shenoy Nagar,CMBT Metro,24
Shenoy Nagar,Koyambedu,16
Shenoy Nagar,Thirumangalam,16
Shenoy Nagar,Anna Nagar Tower,16
Shenoy Nagar,Anna Nagar East,8
Shenoy Nagar,Shenoy Nagar,0
Shenoy Nagar,Pachaiyappas College,8
Shenoy Nagar,Kilpauk,16
Shenoy Nagar,Nehru Park,16
Shenoy Nagar,Egmore,16
Shenoy Nagar,St. Thomas Mount,32

Pachaiyappas College,Airport,32
Pachaiyappas College,Meenambakkam,32
Pachaiyappas College,Nanganallur Road,32
Pachaiyappas College,Alandur Metro,32
Pachaiyappas College,Guindy,32
Pachaiyappas College,Little Mount,32
Pachaiyappas College,Saidapet,32
Pachaiyappas College,Nandanam,24
Pachaiyappas College,Teynampet,24
Pachaiyappas College,AG-DMS,24
Pachaiyappas College,Thousand Lights,24
Pachaiyappas College,LIC,24
Pachaiyappas College,Government Estate,24
Pachaiyappas College,Central Metro,16
Pachaiyappas College,High Court,24
Pachaiyappas College,Mannadi,24
Pachaiyappas College,Washermenpet,24
Pachaiyappas College,Thyagaraya College,24
Pachaiyappas College,Tondiarpet,24
Pachaiyappas College,New Washermen pet,24
Pachaiyappas College,Toll Gate,32
Pachaiyappas College,Kaladipet,32
Pachaiyappas College,Thiruvotriyur Theredi,32
Pachaiyappas College,Thiruvotriyur,32
Pachaiyappas College,WimcoNagar,32
Pachaiyappas College,WimcoNagar Depot,32
Pachaiyappas College,Ekkattuthangal,32
Pachaiyappas College,Ashok Nagar,24
Pachaiyappas College,Vadapalani,24
Pachaiyappas College,Arumbakkam,24
Pachaiyappas College,CMBT Metro,24
Pachaiyappas College,Koyambedu,24
Pachaiyappas College,Thirumangalam,16
Pachaiyappas College,Anna Nagar Tower,16
Pachaiyappas College,Anna Nagar East,16
Pachaiyappas College,Shenoy Nagar,8
Pachaiyappas College,Pachaiyappas College,0
Pachaiyappas College,Kilpauk,8
Pachaiyappas College,Nehru Park,8
Pachaiyappas College,Egmore,16
Pachaiyappas College,St. Thomas Mount,32
 
Kilpauk,Airport,40
Kilpauk,Meenambakkam,32
Kilpauk,Nanganallur Road,32
Kilpauk,Alandur Metro,32
Kilpauk,Guindy,32
Kilpauk,Little Mount,32
Kilpauk,Saidapet,32
Kilpauk,Nandanam,24
Kilpauk,Teynampet,24
Kilpauk,AG-DMS,24
Kilpauk,Thousand Lights,24
Kilpauk,LIC,24
Kilpauk,Government Estate,24
Kilpauk,Central Metro,16
Kilpauk,High Court,16
Kilpauk,Mannadi,24
Kilpauk,Washermenpet,24
Kilpauk,Thyagaraya College,24
Kilpauk,Tondiarpet,24
Kilpauk,New Washermen pet,24
Kilpauk,Toll Gate,24
Kilpauk,Kaladipet,32
Kilpauk,Thiruvotriyur Theredi,32
Kilpauk,Thiruvotriyur,32
Kilpauk,WimcoNagar,32
Kilpauk,WimcoNagar Depot,32
Kilpauk,Ekkattuthangal,32
Kilpauk,Ashok Nagar,32
Kilpauk,Vadapalani,24
Kilpauk,Arumbakkam,24
Kilpauk,CMBT Metro,24
Kilpauk,Koyambedu,24
Kilpauk,Thirumangalam,24
Kilpauk,Anna Nagar Tower,16
Kilpauk,Anna Nagar East,16
Kilpauk,Shenoy Nagar,16
Kilpauk,Pachaiyappas College,8
Kilpauk,Kilpauk,0
Kilpauk,Nehru Park,8
Kilpauk,Egmore,8
Kilpauk,St. Thomas Mount,32

Nehru Park,Airport,32
Nehru Park,Meenambakkam,32
Nehru Park,Nanganallur Road,32
Nehru Park,Alandur Metro,32
Nehru Park,Guindy,32
Nehru Park,Little Mount,32
Nehru Park,Saidapet,24
Nehru Park,Nandanam,24
Nehru Park,Teynampet,24
Nehru Park,AG-DMS,24
Nehru Park,Thousand Lights,24
Nehru Park,LIC,24
Nehru Park,Government Estate,16
Nehru Park,Central Metro,16
Nehru Park,High Court,16
Nehru Park,Mannadi,16
Nehru Park,Washermenpet,24
Nehru Park,Thyagaraya College,24
Nehru Park,Tondiarpet,24
Nehru Park,New Washermen pet,24
Nehru Park,Toll Gate,24
Nehru Park,Kaladipet,24
Nehru Park,Thiruvotriyur Theredi,32
Nehru Park,Thiruvotriyur,32
Nehru Park,WimcoNagar,32
Nehru Park,WimcoNagar Depot,32
Nehru Park,Ekkattuthangal,32
Nehru Park,Ashok Nagar,32
Nehru Park,Vadapalani,24
Nehru Park,Arumbakkam,24
Nehru Park,CMBT Metro,24
Nehru Park,Koyambedu,24
Nehru Park,Thirumangalam,24
Nehru Park,Anna Nagar Tower,24
Nehru Park,Anna Nagar East,16
Nehru Park,Shenoy Nagar,16
Nehru Park,Pachaiyappas College,8
Nehru Park,Kilpauk,8
Nehru Park,Nehru Park,0
Nehru Park,Egmore,8
Nehru Park,St. Thomas Mount,32

Egmore,Airport,32
Egmore,Meenambakkam,32
Egmore,Nanganallur Road,32
Egmore,Alandur Metro,32
Egmore,Guindy,32
Egmore,Little Mount,24
Egmore,Saidapet,24
Egmore,Nandanam,24
Egmore,Teynampet,24
Egmore,AG-DMS,24
Egmore,Thousand Lights,24
Egmore,LIC,16
Egmore,Government Estate,16
Egmore,Central Metro,8
Egmore,High Court,16
Egmore,Mannadi,16
Egmore,Washermenpet,24
Egmore,Thyagaraya College,24
Egmore,Tondiarpet,24
Egmore,New Washermen pet,24
Egmore,Toll Gate,24
Egmore,Kaladipet,24
Egmore,Thiruvotriyur Theredi,24
Egmore,Thiruvotriyur,32
Egmore,WimcoNagar,32
Egmore,WimcoNagar Depot,32
Egmore,Ekkattuthangal,32
Egmore,Ashok Nagar,32
Egmore,Vadapalani,32
Egmore,Arumbakkam,24
Egmore,CMBT Metro,24
Egmore,Koyambedu,24
Egmore,Thirumangalam,24
Egmore,Anna Nagar Tower,24
Egmore,Anna Nagar East,24
Egmore,Shenoy Nagar,16
Egmore,Pachaiyappas College,16
Egmore,Kilpauk,8
Egmore,Nehru Park,8
Egmore,Egmore,0
Egmore,St. Thomas Mount,32

Thousand Lights,Airport,32
Thousand Lights,Meenambakkam,32
Thousand Lights,Nanganallur Road,24
Thousand Lights,Alandur Metro,24
Thousand Lights,Guindy,24
Thousand Lights,Little Mount,24
Thousand Lights,Saidapet,24
Thousand Lights,Nandanam,16
Thousand Lights,Teynampet,16
Thousand Lights,AG-DMS,8
Thousand Lights,Thousand Lights,0
Thousand Lights,LIC,8
Thousand Lights,Government Estate,8
Thousand Lights,Central Metro,16
Thousand Lights,High Court,24
Thousand Lights,Mannadi,24
Thousand Lights,Washermenpet,24
Thousand Lights,Thyagaraya College,24
Thousand Lights,Tondiarpet,24
Thousand Lights,New Washermen pet,24
Thousand Lights,Toll Gate,32
Thousand Lights,Kaladipet,32
Thousand Lights,Thiruvotriyur Theredi,32
Thousand Lights,Thiruvotriyur,32
Thousand Lights,WimcoNagar,32
Thousand Lights,WimcoNagar Depot,32
Thousand Lights,Ekkattuthangal,24
Thousand Lights,Ashok Nagar,32
Thousand Lights,Vadapalani,32
Thousand Lights,Arumbakkam,32
Thousand Lights,CMBT Metro,32
Thousand Lights,Koyambedu,32
Thousand Lights,Thirumangalam,32
Thousand Lights,Anna Nagar Tower,24
Thousand Lights,Anna Nagar East,24
Thousand Lights,Shenoy Nagar,24
Thousand Lights,Pachaiyappas College,24
Thousand Lights,Kilpauk,24
Thousand Lights,Nehru Park,24
Thousand Lights,Egmore,24
Thousand Lights,St. Thomas Mount,24